Instances,,,CAmpactor (gamma=100),,,,CAmpactor (gamma=1000),,,,CAmpactor (gamma=10000),,,,CAmpactor (gamma=100000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
smdk2410,,81,86.8,61.9450,,64,69.2,127.7260,,58,59.9,392.7330,,52,54.4,2180.6240
snds,,68,73.5,45.1740,,53,57.0,82.5050,,46,49.1,229.6430,,43,44.6,1289.5500
sparc_erc32,,64,70.5,36.0640,,49,52.2,76.2370,,44,45.2,211.3140,,40,41.1,1256.8680
sparc_leon,,67,70.3,35.6530,,50,53.1,71.8650,,44,45.1,208.7640,,40,41.4,834.3840
sparclite_sim,,60,69.9,36.8880,,49,52.2,79.1450,,42,44.5,251.0600,,40,41.2,868.3930
stb,,66,73.9,44.8550,,51,54.3,89.1920,,44,45.8,282.9080,,41,42.6,986.1490
stdeval1,,64,70.4,42.2790,,49,53.4,85.6980,,43,45.5,267.3310,,41,42.0,1092.3860
stm3210e_eval,,69,73.3,44.0270,,51,53.9,91.8560,,44,45.6,302.8460,,41,42.3,1197.7000
toybox,,13,13.9,0.9290,,13,13.6,0.9690,,13,13.4,1.5970,,13,13.0,5.5790
ts1000,,73,76.5,51.2190,,50,58.1,103.1070,,47,48.8,316.8890,,44,45.3,1215.2070
ts6,,71,75.6,45.7660,,51,57.2,96.8780,,48,49.4,258.8280,,43,45.2,1309.9940
tx39_sim,,61,67.9,37.7870,,50,52.9,71.5280,,41,44.5,216.0910,,40,40.9,1145.0580
uClinux-config,,50,52.6,1856.9770,,36,37.6,3495.1810,,36,37.6,3495.1810,,36,37.6,3495.1810
uClinux,,18,19.5,14.1910,,14,14.1,22.0860,,13,13.0,29.7130,,13,13.0,29.7130
uE250,,65,75.0,46.4210,,52,57.1,96.2490,,47,49.1,267.4040,,43,44.5,1610.5540
vads,,68,74.8,46.2360,,54,57.4,91.0590,,47,49.7,250.6450,,44,45.4,1079.5360
viper,,72,77.6,50.4850,,54,58.3,104.4070,,48,49.9,299.6340,,44,45.6,1384.7200
vrc4373,,65,74.8,43.7040,,50,53.7,91.2080,,44,45.7,230.7590,,40,42.2,1046.2130
vrc4375,,73,79.9,45.7290,,52,57.2,106.7920,,48,49.8,257.7870,,44,45.8,1093.4590
AVERAGE,,66.9112903225806,73.2661290322581,58.8875,,51.5322580645161,55.0354838709677,117.1782,,45.3951612903226,47.4,284.6446,,42.241935483871,43.7,1173.2462
