Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
eb55,,44,45.3,261.9990,,78,81.4,39.4380,,100,104.0,31.2390,,83,87.2,360.5710,,84,87.3,263.9210,,93,96.5,39.4380,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ebsa285,,51,53.3,321.0250,,92,96.0,39.1320,,110,113.8,33.0110,,95,96.8,345.1940,,95,96.8,190.3810,,105,108.3,39.1320,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ec555,,42,45.2,224.0940,,79,80.4,37.9940,,98,102.3,30.5100,,81,85.3,1065.5190,,82,85.2,345.8320,,91,96.8,37.9940,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ecos-icse11,,47,48.7,242.8210,,81,84.4,39.5670,,107,108.4,31.1110,,88,91.9,589.8800,,89,92.4,352.3320,,99,102.0,39.5670,,-,-,-,,-,-,-,,-,-,-,,-,-,-
edb7xxx,,48,50.4,266.5050,,86,87.9,38.4640,,105,107.9,31.5400,,86,90.2,66.1870,,87,90.3,212.8920,,96,101.9,38.4640,,-,-,-,,-,-,-,,-,-,-,,-,-,-
edosk2674,,46,48.9,224.4370,,77,84.4,35.5210,,103,106.5,28.7920,,84,89.1,51.2310,,84,88.8,573.7290,,92,100.0,35.5210,,-,-,-,,-,-,-,,-,-,-,,-,-,-
excalibur_arm9,,56,57.5,378.2180,,100,103.6,42.4320,,123,125.0,35.5000,,100,103.6,157.1080,,100,104.0,543.1090,,110,116.2,42.4320,,-,-,-,,-,-,-,,-,-,-,,-,-,-
fads,,42,45.0,215.9850,,75,79.2,33.0710,,97,99.8,26.5630,,81,83.3,356.5930,,80,82.6,377.1080,,91,94.3,33.0710,,-,-,-,,161,169.2,3534.4933,,-,-,-,,-,-,-
flexanet,,49,50.4,280.5210,,86,89.8,41.6830,,109,112.2,33.5600,,89,93.2,476.7290,,90,93.0,304.2290,,101,104.8,41.6830,,-,-,-,,-,-,-,,-,-,-,,-,-,-
freebsd-icse11,,53,56.2,354.4020,,73,77.9,74.4790,,118,121.7,43.7890,,78,82.2,2639.1260,,81,83.4,2076.5930,,101,108.4,74.4790,,-,-,-,,-,-,-,,-,-,-,,-,-,-
