Instances,,,AutoCCAG (using SamplingCA as its initialization algorithm),,,,AutoCCAG (using its original initialization algorithm),,,,FastCA (using SamplingCA as its initialization algorithm),,,,FastCA (using its original initialization algorithm),,,,TCA (using SamplingCA as its initialization algorithm),,,,TCA (using its original initialization algorithm),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
frv400,,85,89.8,398.7490,,166,176.6,1275.5810,,84,89.3,147.8500,,167,176.7,1432.6730,,95,100.4,39.0230,,196,215.4,908.6210
gps4020,,82,84.9,350.6170,,168,173.9,2112.5750,,81,84.7,149.3570,,169,173.8,1242.9410,,91,97.3,33.9890,,197,209.5,809.3190
grg,,86,89.8,330.2100,,167,179.8,1486.8450,,87,90.3,159.8790,,168,179.7,1440.5650,,96,101.2,37.1720,,199,214.8,914.7010
h8300h_sim,,80,82.9,508.2230,,145,151.7,1507.3260,,80,82.6,365.4450,,145,152.8,1434.6370,,91,94.2,33.5180,,170,184.9,734.0750
h8max,,86,88.5,895.2590,,170,182.2,1067.0750,,85,88.8,103.8240,,169,182.7,1066.2940,,96,100.9,36.6500,,213,217.9,794.5630
h8s_sim,,76,81.3,695.0520,,148,158.2,858.0060,,78,81.2,142.5870,,151,158.6,1256.3650,,88,92.1,33.1690,,183,190.6,741.5320
hs7729pci,,112,119.1,266.7270,,218,229.5,2040.0110,,112,119.0,763.1500,,219,230.6,3063.8520,,126,130.9,53.0570,,261,275.4,1554.7030
innovator,,115,119.6,198.8600,,218,226.8,2512.4020,,113,119.0,641.1650,,218,226.7,3013.5950,,128,132.5,49.6750,,259,269.6,1551.5250
integrator_arm7,,86,90.2,107.0160,,169,178.0,1340.5070,,86,90.2,558.5570,,169,178.7,1702.3800,,99,103.2,39.2740,,208,219.8,931.1490
integrator_arm9,,101,105.0,383.0710,,199,214.3,2025.6260,,101,105.1,886.6670,,203,215.1,3120.6640,,115,117.1,43.3300,,243,257.2,1688.3000
ipaq,,82,86.2,89.7100,,162,177.0,1447.9100,,82,86.3,414.9470,,163,177.2,1537.4290,,95,98.1,37.1550,,192,209.5,927.1090
iq80310,,84,89.8,596.0360,,168,182.0,1263.8300,,85,90.0,336.7100,,168,181.9,1302.8180,,97,100.2,39.4110,,210,220.9,933.4230
iq80321,,87,90.2,453.1060,,169,178.9,1735.3520,,88,91.0,295.3900,,169,179.0,1283.6670,,93,100.0,40.4490,,197,216.0,954.3210
ixdp425,,84,88.6,672.5060,,178,188.2,1556.4190,,85,88.9,127.2250,,180,188.9,1511.7610,,96,101.6,39.0700,,218,226.7,921.7740
jmr3904,,81,84.1,1131.7590,,156,164.8,1406.8760,,80,83.9,114.2940,,155,164.9,1014.3750,,89,94.8,35.2120,,189,201.7,789.7390
jtst,,83,86.6,568.7010,,162,169.1,1404.6180,,84,86.2,122.9060,,160,168.6,1451.2040,,93,98.1,36.0410,,197,202.8,890.4490
linux,,94,97.6,257.0280,,186,197.0,1083.3640,,92,97.7,163.2050,,183,196.8,1168.7360,,106,110.0,38.2220,,223,234.6,889.7620
lpcmt,,81,85.8,331.4760,,157,167.1,1502.2970,,81,85.6,140.8010,,156,167.0,1204.0020,,93,97.5,36.7070,,184,203.4,904.7170
m5272c3,,91,95.9,67.5290,,174,185.4,1727.0590,,90,95.8,384.4510,,174,185.6,1357.4450,,101,107.6,45.6940,,213,225.8,1080.5080
mac7100evb,,80,83.2,302.6610,,152,163.1,1099.5450,,81,83.8,149.2750,,155,163.5,1196.1500,,90,95.7,37.0150,,192,199.8,859.9170
mace1,,80,83.9,663.1160,,157,162.4,1306.7170,,80,83.9,135.3830,,157,162.2,1186.2050,,93,96.5,34.5430,,188,197.4,834.2380
malta_mips32_4kc,,88,91.9,596.1260,,161,178.8,1373.7930,,88,91.6,148.6860,,161,178.9,1110.7840,,101,106.0,38.5040,,207,217.5,884.0180
malta_mips64_5kc,,85,91.3,291.8800,,174,182.4,1502.0310,,85,91.1,240.5400,,176,182.9,1170.6790,,100,103.7,38.7870,,192,217.3,882.9270
mb93091,,85,89.3,325.9230,,162,179.1,2038.9130,,84,89.2,493.4880,,162,179.6,1218.2700,,97,101.5,38.2920,,206,217.1,912.0310
mb93093,,88,90.4,328.8060,,158,170.4,1290.3190,,88,90.6,260.2460,,158,170.0,1306.0630,,98,101.8,36.8790,,202,209.5,865.5680
mbx,,85,89.5,140.7220,,169,176.6,2030.8150,,85,89.6,368.0690,,169,177.0,1390.1320,,96,102.4,40.5200,,200,216.3,1014.5550
mcb2100,,81,85.4,48.9790,,168,170.5,1580.9350,,82,85.1,134.1540,,168,170.5,1418.7320,,93,96.5,36.7080,,195,204.6,874.5510
moab,,92,95.6,89.0750,,174,187.4,1741.5550,,93,95.8,521.1060,,174,187.5,1465.8820,,101,106.7,43.0890,,215,225.4,998.2490
mpc50,,80,83.3,99.4740,,153,163.3,1487.1410,,79,83.1,383.2820,,153,162.7,1382.5640,,86,95.2,34.7800,,187,197.7,822.1150
nano,,92,96.9,331.0740,,189,204.2,1698.0070,,92,97.3,141.9890,,188,204.5,1807.6580,,106,108.5,44.3330,,237,245.5,993.8520
npwr,,86,88.5,616.5660,,164,178.4,1815.8650,,85,88.7,153.9080,,165,179.2,1321.8180,,98,101.2,41.4520,,196,212.9,943.5510
ocelot,,85,89.5,242.2070,,176,180.4,1618.7240,,87,89.6,307.9500,,174,180.8,1267.5350,,97,100.6,43.4830,,213,224.1,932.3830
