Instances,,,AutoCCAG,,,,Alt-A,,,,FastCA,,,,Alt-F,,,,TCA,,,,Alt-T,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
npwr,,86,88.5,616.5660,,47,49.3,829.0360,,85,88.7,153.9080,,46,48.9,421.1760,,98,101.2,41.4520,,46,48.3,320.9430
ocelot,,85,89.5,242.2070,,47,49.5,485.6620,,87,89.6,307.9500,,46,49.1,529.9930,,97,100.6,43.4830,,48,49.4,300.2890
olpce2294,,91,93.4,414.0910,,47,49.5,683.4470,,91,92.9,509.5700,,47,49.6,731.8660,,102,103.9,43.8050,,46,48.8,353.6900
olpch2294,,83,86.6,458.3080,,44,46.0,666.8050,,82,87.2,287.5080,,44,45.8,509.5170,,91,98.4,41.8280,,44,45.5,325.7780
olpcl2294,,91,93.4,52.8100,,47,49.3,330.6430,,90,93.6,157.6520,,48,49.9,394.0260,,101,104.5,41.6380,,48,50.8,287.4990
p2106,,83,86.9,48.6200,,44,45.3,282.3220,,83,86.6,196.6410,,44,46.0,421.3510,,96,97.9,37.1610,,44,45.7,288.7960
pati,,80,83.8,312.4420,,45,46.1,483.6460,,80,84.4,416.6340,,43,44.8,652.0440,,91,96.3,37.6180,,43,45.4,329.1800
pc_i82544,,89,93.9,50.3950,,48,50.3,266.8890,,91,93.7,342.6880,,47,49.9,563.3200,,98,104.2,44.3350,,47,49.6,339.3330
pc_i82559,,92,94.4,381.6780,,47,49.6,661.0660,,92,94.2,169.5740,,47,49.5,454.6060,,98,106.4,42.4250,,48,49.7,339.8990
pc_rltk8139,,93,98.5,60.1860,,52,54.5,308.0670,,94,98.5,114.8330,,51,53.5,369.7740,,104,110.0,43.2420,,51,54.2,330.7070
pc_usb_d12,,82,89.2,46.7030,,44,46.6,276.0200,,82,88.8,545.6600,,44,46.3,775.4570,,95,100.2,41.9110,,44,47.1,313.0210
pc_vmWare,,89,92.8,60.3500,,46,50.0,267.6060,,88,92.7,426.9250,,48,49.7,613.7870,,100,106.0,38.0310,,46,49.0,388.2690
phycore,,83,86.0,49.9430,,45,46.3,247.6150,,83,85.7,327.6130,,44,46.4,546.8930,,91,97.4,42.2390,,43,45.9,313.6530
phycore229x,,89,92.5,81.2460,,50,50.9,292.1110,,89,92.7,486.1940,,48,49.8,711.0970,,99,105.2,48.2030,,48,50.0,323.5660
picasso,,87,90.2,53.5350,,46,48.6,313.5340,,87,89.9,271.0380,,48,49.1,468.9620,,99,101.7,40.1560,,47,49.2,280.7450
pid,,80,85.1,414.5290,,44,45.6,590.1060,,82,84.9,497.2340,,43,45.1,683.0210,,93,97.3,35.5460,,44,45.6,256.8560
prpmc1100,,78,83.7,666.0150,,45,45.7,861.0900,,81,83.9,366.4060,,44,45.1,553.6020,,90,94.8,40.5160,,43,45.9,246.9770
psim,,76,81.1,426.4190,,44,44.8,618.2260,,76,81.2,455.7260,,44,45.1,619.1090,,84,91.9,36.9480,,43,44.7,290.8230
rattler,,90,95.2,367.2140,,52,53.1,607.0910,,90,95.9,440.8000,,50,52.3,725.7710,,104,109.9,47.8270,,51,53.6,340.6880
ref4955,,79,84.7,288.7730,,44,45.6,477.6360,,80,84.9,197.2470,,45,45.8,358.0860,,93,95.6,36.5500,,43,45.4,248.1350
refidt334,,89,94.5,676.9860,,51,53.0,947.2040,,88,94.0,478.4870,,51,53.5,716.0810,,101,106.6,43.2730,,51,53.4,321.9860
sa1100mm,,81,84.9,630.1640,,44,45.3,815.9930,,80,84.7,355.5400,,45,46.8,513.1820,,91,96.0,38.0430,,44,45.8,250.4440
sam7ex256,,91,93.5,432.6910,,48,49.9,696.8460,,91,93.5,177.0940,,47,50.3,422.7450,,102,104.5,45.9090,,47,49.2,368.4810
se7751,,97,100.8,350.8500,,51,54.0,646.1150,,97,101.0,230.2010,,52,52.9,563.2030,,110,114.0,42.2760,,52,54.1,353.9250
sh4_202_md,,93,97.8,198.0860,,51,52.9,434.7720,,94,98.0,446.0760,,50,52.6,766.2160,,103,108.1,43.3860,,51,53.9,319.6780
sh7708,,101,105.8,95.2330,,56,57.3,425.0730,,102,106.0,445.0050,,56,57.6,792.0430,,113,117.3,46.4250,,55,58.3,385.7060
skmb91302,,81,83.5,418.1040,,44,45.6,640.4290,,80,83.1,287.9260,,43,45.5,505.7950,,92,94.5,36.6730,,44,44.8,302.9240
sleb,,78,81.4,322.6780,,41,44.4,547.3900,,78,81.4,457.7000,,42,45.2,651.4240,,90,93.5,34.1270,,44,45.2,237.5490
smdk2410,,102,106.6,134.6150,,57,58.9,526.2080,,104,106.8,755.0530,,56,58.4,1197.9860,,110,118.8,47.6100,,58,59.4,456.0480
snds,,86,89.0,530.7670,,47,48.4,729.8490,,84,88.3,353.7730,,47,48.5,597.4210,,98,102.0,37.3370,,46,48.6,284.2630
sparc_erc32,,78,81.2,753.2070,,44,45.3,912.3680,,78,81.4,537.6710,,43,45.2,725.2710,,88,93.0,32.1260,,43,44.6,234.9890
sparc_leon,,78,82.4,47.0270,,43,44.4,237.2370,,78,82.1,539.4840,,43,45.6,708.5850,,90,92.7,32.9650,,44,45.3,215.6880
sparclite_sim,,80,82.7,47.9850,,43,45.5,215.7710,,80,83.4,117.0150,,44,45.0,299.7420,,88,94.0,32.6280,,42,44.6,261.8980
stb,,83,86.3,207.0410,,43,46.0,425.2150,,82,86.2,401.8740,,43,46.8,615.5040,,97,99.6,37.5380,,43,46.3,289.2480
stdeval1,,81,85.6,118.5990,,44,45.5,336.6050,,82,85.4,345.2040,,44,46.4,561.0910,,91,97.1,35.3360,,45,46.4,255.9250
stm3210e_eval,,82,85.4,574.3930,,44,46.1,792.9990,,82,86.0,158.6220,,43,45.4,417.7750,,92,95.0,43.0040,,44,45.8,299.1140
toybox,,16,16.1,0.8730,,13,13.4,1.5760,,16,16.1,0.9450,,13,13.4,1.7570,,16,16.1,0.9380,,13,13.4,1.7440
ts1000,,86,91.2,60.5880,,47,49.1,282.7950,,87,90.9,210.0460,,47,48.7,527.7670,,97,104.9,41.8040,,47,48.4,348.9830
ts6,,86,88.2,61.1350,,47,48.8,291.5240,,85,89.5,251.1510,,45,49.4,487.2340,,94,102.0,39.5940,,48,49.7,284.9900
tx39_sim,,78,80.8,728.5890,,43,44.5,911.2850,,78,81.6,280.3150,,43,44.5,468.7160,,89,92.5,33.7770,,42,44.7,249.9800
uClinux-config,,64,65.4,1856.4670,,39,40.8,3518.0620,,64,65.4,1613.2770,,38,40.1,3484.2490,,64,65.4,1856.0990,,37,39.7,3492.0640
uClinux,,21,21.6,15.3630,,13,13.0,31.8810,,21,21.6,15.0830,,13,13.0,33.5580,,21,21.6,14.3130,,13,13.0,33.2270
uE250,,86,89.0,946.6310,,47,48.8,1182.5300,,84,88.6,173.6650,,46,48.6,474.9860,,94,100.1,39.7340,,47,49.3,280.2120
vads,,84,89.3,338.2630,,47,49.4,556.2900,,83,88.9,547.0620,,48,49.5,823.5160,,98,102.0,38.4040,,48,49.5,315.0700
viper,,85,88.9,64.3770,,48,49.4,276.0840,,85,89.4,167.0040,,47,49.2,435.7160,,94,103.0,43.7960,,48,49.5,366.4270
vrc4373,,82,84.4,131.2830,,42,45.2,355.5510,,81,84.2,126.7000,,43,45.3,357.2870,,94,97.4,39.6790,,44,46.2,286.5430
vrc4375,,89,91.9,98.8160,,49,50.2,323.7130,,89,91.4,364.7150,,47,49.3,604.9470,,99,104.0,39.5080,,48,49.6,313.7010
AVERAGE,,82.8387096774194,86.6,377.9411,,45.3467741935484,47.4,611.1120,,82.8951612903226,86.7,357.2389,,45.2741935483871,47.3,591.4902,,93.3629032258065,98.1,52.6662,,45.3145161290323,47.3,293.3734
