Instances,,,CAmpactor (psi=0),,,,CAmpactor (psi=0.1),,,,CAmpactor (psi=0.2),,,,CAmpactor (psi=0.3),,,,CAmpactor (psi=0.4),,,,CAmpactor (psi=0.5),,,,CAmpactor (psi=0.6),,,,CAmpactor (psi=0.7),,,,CAmpactor (psi=0.8),,,,CAmpactor (psi=0.9),,,,CAmpactor (psi=1.0),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
innovator,,125,133.0,44.7300,,64,67.3,413.5840,,62,65.0,407.4450,,61,64.4,565.9390,,61,64.3,543.2410,,61,62.8,760.8410,,62,63.6,833.1120,,61,62.8,1094.4530,,62,63.8,964.2430,,61,63.5,907.2180,,60,63.9,793.3550
integrator_arm7,,98,103.2,37.4330,,46,48.7,237.4030,,46,48.1,320.7560,,46,48.1,476.9640,,46,47.6,592.1850,,46,48.0,419.0740,,47,47.4,619.9230,,46,47.2,532.3300,,47,48.2,588.4580,,46,47.4,790.1870,,44,47.5,986.0930
integrator_arm9,,115,117.4,37.8410,,58,60.1,324.8720,,58,59.8,419.0780,,57,58.8,570.0550,,57,58.6,598.2170,,56,58.5,695.9460,,57,58.2,848.7850,,57,58.6,801.5330,,56,58.1,795.2890,,56,58.2,944.9420,,57,58.2,1104.6250
ipaq,,93,98.4,43.9290,,45,46.6,214.2650,,43,44.4,397.1710,,43,44.7,402.2370,,43,44.5,384.2140,,43,43.9,645.7060,,42,44.2,573.2140,,41,43.5,720.2620,,42,43.7,721.7030,,42,43.8,745.9640,,43,43.9,748.0500
iq80310,,96,100.9,36.3530,,46,49.4,267.9990,,46,48.1,408.1940,,45,47.6,480.0780,,46,48.2,479.3160,,46,47.7,545.4900,,46,47.5,514.7740,,46,47.4,553.4620,,45,47.3,616.2520,,46,47.1,725.9430,,45,46.6,859.5810
iq80321,,98,101.2,32.5620,,48,50.0,226.4180,,46,48.1,354.3150,,47,48.9,362.7410,,46,47.5,487.9470,,46,47.0,685.7390,,45,47.1,651.7070,,45,47.4,603.2030,,45,46.4,791.7130,,45,47.5,765.6020,,46,46.9,862.0390
ixdp425,,99,102.3,32.0710,,47,49.3,242.8000,,46,48.3,308.4200,,47,48.5,340.5690,,45,47.4,406.3140,,45,46.9,569.1800,,45,46.8,545.3120,,45,46.5,668.1540,,45,47.2,681.8100,,45,46.5,666.5160,,44,46.3,1033.0410
jmr3904,,89,94.0,35.9440,,45,46.4,173.4720,,43,44.7,311.4580,,42,43.5,409.0100,,42,44.5,359.4230,,42,44.0,437.2030,,43,44.0,469.9820,,43,44.2,558.1040,,42,43.9,517.2870,,43,44.2,506.9940,,41,43.2,907.4580
jtst,,91,97.7,36.6610,,44,45.8,277.8560,,44,45.6,310.5630,,44,44.7,383.0570,,43,44.8,430.0140,,42,44.4,639.6420,,43,44.4,562.2460,,42,44.3,669.7880,,43,44.4,706.6100,,42,43.7,792.9830,,43,44.1,713.5750
linux,,103,109.8,33.8070,,51,53.9,279.1990,,51,53.8,406.7850,,51,53.6,548.7790,,50,53.3,538.3500,,51,53.1,676.1340,,51,52.3,726.8910,,51,52.7,784.9230,,50,52.7,712.6930,,50,52.5,953.5490,,50,51.9,1070.5570
lpcmt,,94,99.3,30.5240,,43,45.9,270.4730,,44,45.4,287.1800,,42,44.7,387.3970,,43,44.7,402.4790,,41,44.3,599.4740,,42,43.8,737.9650,,42,43.3,814.9410,,42,43.5,785.5030,,41,43.6,698.9720,,41,43.3,812.3790
m5272c3,,100,107.4,39.6470,,50,51.9,276.8600,,49,50.6,404.3990,,47,48.6,626.3970,,48,49.0,656.2260,,48,49.8,666.7220,,47,48.2,1127.6800,,49,49.6,617.2400,,47,49.4,1087.0740,,47,48.7,1307.7750,,47,48.4,992.8820
mac7100evb,,89,94.6,34.0190,,43,45.0,236.6980,,42,45.0,257.0420,,41,44.0,349.3820,,43,43.8,499.7240,,42,43.5,607.6270,,40,43.2,621.1360,,42,43.4,677.6790,,42,43.6,668.1850,,42,43.6,839.6870,,43,44.0,613.5760
mace1,,92,96.9,31.5270,,44,45.7,261.9790,,43,44.7,347.3640,,42,44.0,425.1210,,42,43.7,592.7530,,41,43.0,651.9220,,43,44.2,531.6550,,41,43.7,646.8350,,43,44.3,590.8250,,43,44.0,755.9130,,43,43.6,853.7380
malta_mips32_4kc,,99,105.5,43.1280,,47,49.9,244.1610,,47,49.1,379.2290,,45,49.0,419.6520,,48,49.0,463.1010,,47,48.7,578.7060,,47,48.0,587.1210,,46,48.1,820.1630,,45,48.1,763.8850,,45,47.8,851.2580,,45,47.5,778.9020
malta_mips64_5kc,,99,103.7,31.9600,,47,49.0,299.8100,,46,49.2,317.0020,,47,48.5,406.8650,,46,48.4,480.2090,,47,48.0,555.4870,,46,47.4,619.6720,,46,47.4,693.6310,,45,47.5,576.6130,,47,47.6,538.2920,,46,47.4,847.8490
mb93091,,95,101.6,33.9400,,47,48.4,307.0120,,46,47.7,349.5950,,45,46.9,479.7240,,46,47.7,488.5620,,46,46.9,532.4980,,46,47.6,430.0450,,46,47.4,652.7400,,45,47.2,657.0620,,45,46.7,702.4410,,46,46.9,679.5440
mb93093,,96,101.8,33.2170,,46,48.7,299.0760,,47,48.2,378.4520,,45,47.0,488.7240,,45,47.2,588.9290,,46,47.2,524.2710,,45,47.2,517.9010,,46,47.0,679.5640,,45,46.8,810.8110,,46,47.1,960.3250,,46,47.4,740.7170
mbx,,94,103.9,34.2580,,48,49.8,292.3810,,47,48.5,404.2900,,47,48.5,424.4320,,45,47.1,657.7090,,47,48.1,508.4030,,45,47.6,570.5500,,46,46.9,771.2690,,45,47.6,748.3010,,46,47.9,834.4860,,46,47.4,909.8250
mcb2100,,88,95.8,39.8340,,44,45.0,253.8680,,43,44.4,343.6060,,42,44.5,350.3600,,42,43.7,475.8660,,42,43.3,553.8550,,42,43.9,555.0470,,41,43.8,669.7580,,42,43.7,621.5810,,42,43.0,882.4810,,41,43.6,743.8790
moab,,98,107.1,37.5680,,49,51.2,320.4540,,49,51.2,330.9850,,49,50.6,409.2840,,48,49.9,516.6430,,47,50.0,567.8440,,48,49.4,617.6700,,47,49.3,607.1750,,48,49.1,920.6240,,47,48.2,1265.5430,,48,49.3,1022.3900
mpc50,,90,96.4,28.9680,,43,45.0,253.2570,,43,45.0,297.7530,,42,44.4,372.2540,,43,44.4,395.0480,,42,43.8,448.9370,,42,43.6,449.3410,,42,43.7,471.9570,,42,43.4,641.2180,,40,43.4,693.6550,,42,43.2,605.3180
nano,,104,108.5,40.4250,,51,53.6,331.0430,,51,53.0,354.2620,,50,53.1,467.3740,,48,51.5,697.6120,,49,51.8,769.8730,,50,52.4,698.7820,,51,52.2,844.5470,,49,51.6,1044.7350,,49,51.2,1006.7600,,50,51.5,1009.4480
npwr,,96,101.0,35.7730,,47,48.8,324.4070,,45,48.2,396.3700,,46,47.4,390.5680,,46,46.7,518.5510,,46,47.5,475.3210,,45,46.7,726.4030,,46,47.3,575.0500,,46,46.6,780.5800,,46,47.5,717.3060,,45,46.8,1135.2140
ocelot,,98,102.8,33.0380,,48,49.0,328.4790,,46,48.1,362.7910,,45,47.9,418.6000,,47,47.7,570.5470,,46,48.2,615.2640,,46,48.2,499.3090,,46,47.6,769.5200,,46,48.3,714.6710,,46,47.1,1019.8260,,46,47.2,947.1580
olpce2294,,99,104.0,43.1770,,48,49.7,314.2180,,46,49.4,404.6700,,47,48.0,539.5080,,46,48.0,567.4240,,46,47.7,636.8590,,46,47.7,719.4220,,45,47.1,939.2100,,46,47.5,952.7000,,47,48.3,825.4550,,45,47.3,1056.4480
olpch2294,,95,98.4,42.2110,,44,45.9,277.4770,,44,45.5,320.7930,,43,45.3,385.6840,,42,43.5,592.1150,,42,44.2,592.5610,,42,44.3,628.6480,,43,44.3,451.8930,,43,44.3,589.1810,,42,44.1,764.9430,,43,43.9,862.6890
olpcl2294,,101,105.8,34.0460,,48,50.1,280.4750,,48,49.5,401.8920,,47,48.7,458.7570,,47,48.6,540.4920,,46,48.2,649.5500,,46,47.8,724.6190,,46,47.9,688.7330,,47,48.1,747.1360,,46,47.5,1037.5060,,45,47.4,945.3220
p2106,,94,98.4,35.0950,,43,45.2,275.0970,,44,44.9,337.8690,,42,44.0,435.7610,,43,43.8,467.1030,,42,44.3,486.6740,,43,44.2,545.0510,,42,43.3,622.6410,,41,43.6,693.9370,,42,43.6,751.8810,,42,43.7,916.4720
pati,,92,96.7,32.2510,,43,44.7,298.1170,,42,44.6,309.0430,,43,44.5,390.6140,,42,44.1,520.7600,,42,43.6,605.8610,,43,43.9,664.3620,,42,44.1,559.2070,,42,43.5,783.5560,,43,43.7,615.3840,,42,43.9,758.4280
pc_i82544,,96,104.0,48.2840,,48,49.8,314.1760,,47,48.5,444.0840,,47,48.5,480.4860,,47,48.7,468.7160,,45,48.0,653.1940,,46,48.5,727.5420,,46,47.6,867.4020,,45,47.4,1023.9580,,47,47.9,851.4280,,46,48.2,1009.9310
pc_i82559,,99,106.1,34.7620,,47,49.4,316.9590,,47,48.9,327.6310,,47,48.4,477.1910,,47,49.0,531.2040,,47,48.6,559.7010,,46,48.0,673.8130,,46,48.3,789.4370,,46,47.9,797.6440,,46,48.1,772.7410,,46,47.7,1151.1580
pc_rltk8139,,106,110.3,36.8840,,53,55.0,306.3100,,51,52.8,468.5160,,52,53.2,435.5440,,51,52.7,533.1690,,49,52.2,671.6120,,49,51.9,757.3500,,51,52.6,619.8520,,49,52.1,684.5610,,51,52.2,1179.9750,,50,52.4,828.9230
pc_usb_d12,,95,99.9,35.6690,,45,47.1,278.8120,,44,45.5,361.9140,,43,45.4,410.0350,,44,44.9,448.6730,,44,44.9,586.6130,,43,44.6,584.0310,,43,44.4,675.0060,,43,44.8,723.9820,,43,44.2,833.9290,,43,44.3,989.5190
pc_vmWare,,101,106.4,33.0710,,46,49.3,348.9530,,47,48.3,504.4730,,46,48.5,417.8530,,45,47.4,621.1400,,45,47.8,640.9450,,47,47.8,656.8170,,46,47.5,705.9790,,45,47.2,844.4060,,46,47.0,907.5560,,46,47.3,835.5820
phycore,,91,97.7,36.5240,,43,45.4,325.8150,,44,44.9,379.4040,,43,44.8,432.4620,,42,44.1,552.1760,,42,43.9,561.9350,,43,44.2,480.5760,,43,44.4,557.5820,,42,44.1,749.4140,,43,43.9,783.8370,,42,44.1,886.5270
phycore229x,,100,106.6,38.7750,,48,49.7,313.9900,,47,48.8,469.0490,,46,48.1,520.9270,,46,48.1,646.6980,,46,47.9,843.2710,,46,48.7,732.6320,,46,48.3,677.9150,,47,48.2,856.4470,,47,47.8,1185.1310,,46,46.8,1290.6770
picasso,,95,102.3,36.3260,,46,48.1,280.7770,,47,48.4,334.1220,,46,47.2,434.6560,,46,46.7,532.3970,,47,48.0,525.8910,,45,46.8,619.1220,,46,47.4,752.3920,,45,46.5,621.8390,,45,46.6,938.1870,,45,47.2,807.3990
